n,index,total,a1,a2,a3,a4,min_regions,expected_regions (n+1)(n+2),matches_expected
3,1,3,1,1,2,3,20,20,TRUE
3,2,3,1,2,1,3,20,20,TRUE
3,3,3,1,2,2,2,20,20,TRUE
4,1,7,1,1,3,4,30,30,TRUE
4,2,7,1,2,2,4,30,30,TRUE
4,3,7,1,2,3,3,30,30,TRUE
4,4,7,1,3,1,4,30,30,TRUE
4,5,7,1,3,2,3,30,30,TRUE
4,6,7,1,4,2,2,30,30,TRUE
4,7,7,2,2,2,3,30,30,TRUE
5,1,13,1,1,4,5,42,42,TRUE
5,2,13,1,2,3,5,42,42,TRUE
5,3,13,1,2,4,4,42,42,TRUE
5,4,13,1,3,2,5,42,42,TRUE
5,5,13,1,3,3,4,42,42,TRUE
5,6,13,1,4,1,5,42,42,TRUE
5,7,13,1,4,2,4,43,42,FALSE
5,8,13,1,4,3,3,42,42,TRUE
5,9,13,1,5,2,3,42,42,TRUE
5,10,13,2,2,2,5,42,42,TRUE
5,11,13,2,2,3,4,42,42,TRUE
5,12,13,2,3,2,4,42,42,TRUE
5,13,13,2,3,3,3,42,42,TRUE
6,1,22,1,1,5,6,56,56,TRUE
6,2,22,1,2,4,6,56,56,TRUE
6,3,22,1,2,5,5,56,56,TRUE
6,4,22,1,3,3,6,56,56,TRUE
6,5,22,1,3,4,5,56,56,TRUE
6,6,22,1,4,2,6,57,56,FALSE
6,7,22,1,4,3,5,57,56,FALSE
6,8,22,1,4,4,4,56,56,TRUE
6,9,22,1,5,1,6,56,56,TRUE
6,10,22,1,5,2,5,57,56,FALSE
6,11,22,1,5,3,4,56,56,TRUE
6,12,22,1,6,2,4,56,56,TRUE
6,13,22,1,6,3,3,56,56,TRUE
6,14,22,2,2,3,6,56,56,TRUE
6,15,22,2,2,4,5,56,56,TRUE
6,16,22,2,3,2,6,56,56,TRUE
6,17,22,2,3,3,5,56,56,TRUE
6,18,22,2,3,4,4,56,56,TRUE
6,19,22,2,4,2,5,56,56,TRUE
6,20,22,2,4,3,4,56,56,TRUE
6,21,22,2,5,3,3,56,56,TRUE
6,22,22,3,3,3,4,56,56,TRUE
7,1,34,1,1,6,7,72,72,TRUE
7,2,34,1,2,5,7,72,72,TRUE
7,3,34,1,2,6,6,72,72,TRUE
7,4,34,1,3,4,7,72,72,TRUE
7,5,34,1,3,5,6,72,72,TRUE
7,6,34,1,4,3,7,73,72,FALSE
7,7,34,1,4,4,6,73,72,FALSE
7,8,34,1,4,5,5,72,72,TRUE
7,9,34,1,5,2,7,73,72,FALSE
7,10,34,1,5,3,6,73,72,FALSE
7,11,34,1,5,4,5,72,72,TRUE
7,12,34,1,6,1,7,72,72,TRUE
7,13,34,1,6,2,6,73,72,FALSE
7,14,34,1,6,3,5,73,72,FALSE
7,15,34,1,6,4,4,72,72,TRUE
7,16,34,1,7,2,5,73,72,FALSE
7,17,34,1,7,3,4,72,72,TRUE
7,18,34,2,2,4,7,72,72,TRUE
7,19,34,2,2,5,6,72,72,TRUE
7,20,34,2,3,3,7,72,72,TRUE
7,21,34,2,3,4,6,72,72,TRUE
7,22,34,2,3,5,5,72,72,TRUE
7,23,34,2,4,2,7,72,72,TRUE
7,24,34,2,4,3,6,73,72,FALSE
7,25,34,2,4,4,5,72,72,TRUE
7,26,34,2,5,2,6,73,72,FALSE
7,27,34,2,5,3,5,72,72,TRUE
7,28,34,2,5,4,4,72,72,TRUE
7,29,34,2,6,3,4,72,72,TRUE
7,30,34,2,7,3,3,72,72,TRUE
7,31,34,3,3,3,6,72,72,TRUE
7,32,34,3,3,4,5,72,72,TRUE
7,33,34,3,4,3,5,72,72,TRUE
7,34,34,3,4,4,4,72,72,TRUE
8,1,50,1,1,7,8,90,90,TRUE
8,2,50,1,2,6,8,90,90,TRUE
8,3,50,1,2,7,7,90,90,TRUE
8,4,50,1,3,5,8,90,90,TRUE
8,5,50,1,3,6,7,90,90,TRUE
8,6,50,1,4,4,8,91,90,FALSE
8,7,50,1,4,5,7,91,90,FALSE
8,8,50,1,4,6,6,90,90,TRUE
8,9,50,1,5,3,8,91,90,FALSE
8,10,50,1,5,4,7,91,90,FALSE
8,11,50,1,5,5,6,90,90,TRUE
8,12,50,1,6,2,8,91,90,FALSE
8,13,50,1,6,3,7,92,90,FALSE
8,14,50,1,6,4,6,91,90,FALSE
8,15,50,1,6,5,5,90,90,TRUE
8,16,50,1,7,1,8,90,90,TRUE
8,17,50,1,7,2,7,92,90,FALSE
8,18,50,1,7,3,6,91,90,FALSE
8,19,50,1,7,4,5,90,90,TRUE
8,20,50,1,8,2,6,91,90,FALSE
8,21,50,1,8,3,5,90,90,TRUE
8,22,50,1,8,4,4,90,90,TRUE
8,23,50,2,2,5,8,90,90,TRUE
8,24,50,2,2,6,7,90,90,TRUE
8,25,50,2,3,4,8,90,90,TRUE
8,26,50,2,3,5,7,90,90,TRUE
8,27,50,2,3,6,6,90,90,TRUE
8,28,50,2,4,3,8,90,90,TRUE
8,29,50,2,4,4,7,90,90,TRUE
8,30,50,2,4,5,6,90,90,TRUE
8,31,50,2,5,2,8,91,90,FALSE
8,32,50,2,5,3,7,91,90,FALSE
8,33,50,2,5,4,6,90,90,TRUE
8,34,50,2,5,5,5,90,90,TRUE
8,35,50,2,6,2,7,92,90,FALSE
8,36,50,2,6,3,6,91,90,FALSE
8,37,50,2,6,4,5,90,90,TRUE
8,38,50,2,7,3,5,90,90,TRUE
8,39,50,2,7,4,4,90,90,TRUE
8,40,50,2,8,3,4,90,90,TRUE
8,41,50,3,3,3,8,90,90,TRUE
8,42,50,3,3,4,7,90,90,TRUE
8,43,50,3,3,5,6,90,90,TRUE
8,44,50,3,4,3,7,90,90,TRUE
8,45,50,3,4,4,6,90,90,TRUE
8,46,50,3,4,5,5,90,90,TRUE
8,47,50,3,5,3,6,90,90,TRUE
8,48,50,3,5,4,5,90,90,TRUE
8,49,50,3,6,4,4,90,90,TRUE
8,50,50,4,4,4,5,90,90,TRUE